State_Name,State_Code,COUNT,No of Household,Total population Person,Total population Male,Total population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates population Person,Literates population Male,Literates population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Non Working Population Person,Non Working Population Male,Non Working Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Worker Population 3-6 Person,Marginal Worker Population 3-6 Male,Marginal Worker Population 3-6 Female,Marginal Worker Population 0-3 Person,Marginal Worker Population 0-3 Male,Marginal Worker Population 0-3 Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Cultivator Population 3-6 Person,Marginal Cultivator Population 3-6 Male,Marginal Cultivator Population 3-6 Female,Marginal Agriculture Labourers Population 3-6 Person,Marginal Agriculture Labourers Population 3-6 Male,Marginal Agriculture Labourers Population 3-6 Female,Marginal Household Industries Population 3-6 Person,Marginal Household Industries Population 3-6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3-6 Person,Marginal Other Workers Population Person 3-6 Male,Marginal Other Workers Population Person 3-6 Female,Marginal Cultivator Population 0-3 Person,Marginal Cultivator Population 0-3 Male,Marginal Cultivator Population 0-3 Female,Marginal Agriculture Labourers Population 0-3 Person,Marginal Agriculture Labourers Population 0-3 Male,Marginal Agriculture Labourers Population 0-3 Female,Marginal Household Industries Population 0-3 Person,Marginal Household Industries Population 0-3 Male,Marginal Household Industries Population 0-3 Female,Marginal Other Workers Population 0-3 Person,Marginal Other Workers Population 0-3 Male,Marginal Other Workers Population 0-3 Female
Gujarat,24,18644,12125193,59830792,31173601,28657191,7701727,4075065,3626662,4030130,2087235,1942895,8856581,4470394,4386187,40654001,23227663,17426338,19176791,7945938,11230853,24543855,17823778,6720077,35286937,13349823,21937114,20174834,16406154,3768680,4369021,1417624,2951397,3900867,1235977,2664890,468154,181647,286507,4728174,4057905,670269,4467550,2991759,1475791,249641,180301,69340,10729469,9176189,1553280,697855,168535,529320,2337218,637367,1699851,90797,28124,62673,1243151,583598,659553,613145,141645,471500,2102337,558864,1543473,76934,23676,53258,1108451,511792,596659,84710,26890,57820,234881,78503,156378,13863,4448,9415,134700,71806,62894
Haryana,6,7002,4845543,25289592,13461162,11828430,3372691,1838644,1534047,5100406,2702625,2397781,2141,1046,1095,16556944,9768792,6788152,8732648,3692370,5040278,8896367,6790082,2106285,16393225,6671080,9722145,7000046,5847156,1152890,1896321,942926,953395,1506275,766345,739930,390046,176581,213465,1961112,1630851,330261,890735,717752,172983,200833,159201,41632,3947366,3339352,608014,516567,156006,360561,635792,321963,313829,60749,26791,33958,683213,438166,245047,383876,111885,271991,503216,267041,236175,47913,21305,26608,571270,366114,205156,132691,44121,88570,132576,54922,77654,12836,5486,7350,111943,72052,39891
Himachal Pradesh,2,16141,1163631,5382667,2722623,2660044,613220,322056,291164,1335717,676207,659510,317531,159156,158375,3959444,2153316,1806128,1423223,569307,853916,2744616,1578412,1166204,2638051,1144211,1493840,1523943,1082835,441108,1220673,495577,725096,833455,344362,489093,387218,151215,236003,621724,348508,273216,47083,32103,14980,26057,19843,6214,829079,682381,146698,924092,315379,608713,85992,46895,39097,22261,10734,11527,188328,122569,65759,610735,202012,408723,65228,36882,28346,15739,8291,7448,141753,97177,44576,313357,113367,199990,20764,10013,10751,6522,2443,4079,46575,25392,21183
Jammu And Kashmir,1,6825,2096217,12398979,6564428,5834551,2000169,1074078,926091,912590,479591,432999,1479375,768925,710450,6974236,4209956,2764280,5424743,2354472,3070271,4275314,3157445,1117869,8123665,3406983,4716682,2610779,2275400,335379,1664535,882045,782490,1191401,669732,521669,473134,212313,260821,565454,485429,80025,159009,142225,16784,78346,58119,20227,1807970,1589627,218343,674897,277795,397102,386112,269761,116351,92839,32338,60501,510687,302151,208536,450366,199352,251014,271044,198968,72076,66473,25612,40861,403518,245800,157718,224531,78443,146088,115068,70793,44275,26366,6726,19640,107169,56351,50818
Jharkhand,20,31674,6251217,32968757,16920389,16048368,5386015,2765414,2620601,3982208,2041684,1940524,8643196,4314536,4328660,18317370,10876268,7441102,14651387,6044121,8607266,13090522,8420035,4670487,19878235,8500354,11377881,6814883,5231835,1583048,6275639,3188200,3087439,4950535,2643414,2307121,1325104,544786,780318,1999392,1442683,556709,1238121,829112,409009,248942,142599,106343,3328428,2817441,510987,1811995,846591,965404,3195224,1510788,1684436,206185,82783,123402,1062235,748038,314197,1411931,692151,719780,2519459,1255661,1263798,156144,66007,90137,863001,629595,233406,400064,154440,245624,675765,255127,420638,50041,16776,33265,199234,118443,80791
Karnataka,29,29657,11225021,52515986,26507428,26008558,6232432,3197224,3035208,9492383,4767062,4725321,4091150,2052838,2038312,33861114,18856417,15004697,18654872,7651011,11003861,24130467,15524545,8605922,28385519,10982883,17402636,19991702,13796437,6195265,4138765,1728108,2410657,3627601,1495499,2132102,511164,232609,278555,6016005,4554406,1461599,5081537,2581724,2499813,616933,298183,318750,8277227,6362124,1915103,531686,180364,351322,2025552,668427,1357125,202030,77390,124640,1379497,801927,577570,464202,154345,309857,1863636,610333,1253303,161676,60989,100687,1138087,669832,468255,67484,26019,41465,161916,58094,103822,40354,16401,23953,241410,132095,109315
Kerala,32,1599,7691798,32745597,15706462,17039135,3407847,1735048,1672799,3006387,1461603,1544784,482340,236950,245390,27563082,13423840,14139242,5182515,2282622,2899893,11381169,8277383,3103786,21364428,7429079,13935349,9119669,7019587,2100082,2261500,1257796,1003704,1805644,1049905,755739,455856,207891,247965,543695,464454,79241,914437,625658,288779,194277,129207,65070,7467260,5800268,1666992,124956,81151,43805,402159,228198,173961,74030,32272,41758,1660355,916175,744180,99398,65795,33603,320934,189015,131919,57065,25634,31431,1328247,769461,558786,25558,15356,10202,81225,39183,42042,16965,6638,10327,332108,146714,185394
Lakshadweep,31,21,11574,64473,33123,31350,7255,3797,3458,0,0,0,61120,30515,30605,52553,28023,24530,11920,5100,6820,18753,15318,3435,45720,17805,27915,10804,9137,1667,7949,6181,1768,5362,4265,1097,2587,1916,671,0,0,0,0,0,0,97,66,31,10707,9071,1636,0,0,0,0,0,0,167,68,99,7782,6113,1669,0,0,0,0,0,0,121,42,79,5241,4223,1018,0,0,0,0,0,0,46,26,20,2541,1890,651
Madhya Pradesh,23,44687,13754160,66332428,34362340,31970088,9808120,5116214,4691906,10331900,5382484,4949416,13673380,6892904,6780476,39449206,23134459,16314747,26883222,11227881,15655341,28655787,18396088,10259699,37676641,15966252,21710389,20738949,15005147,5733802,7916838,3390941,4525897,6526865,2821630,3705235,1389973,569311,820662,7321279,5385320,1935959,5922957,3600202,2322755,601755,370814,230941,6892958,5648811,1244147,1442825,487336,955489,4922919,2022064,2900855,279659,104134,175525,1271435,777407,494028,1146077,375987,770090,4136271,1724341,2411930,217722,81445,136277,1026795,639857,386938,296748,111349,185399,786648,297723,488925,61937,22689,39248,244640,137550,107090
Maharashtra,27,43771,24421928,112377776,58244844,54132932,13327150,7035721,6291429,13275331,6767448,6507883,10513814,5316856,5196958,81553993,45257999,36295994,30823783,12986845,17836938,49430174,32618370,16811804,62947602,25626474,37321128,43764011,29991009,13773002,5666163,2627361,3038802,4829558,2239913,2589645,836605,387448,449157,11477701,7182057,4295644,11070535,5847921,5222614,991333,606562,384771,20224442,16354469,3869973,1091055,411021,680034,2418597,927922,1490675,234314,84197,150117,1922197,1204221,717976,910091,337609,572482,2103667,808893,1294774,179812,65758,114054,1635988,1027653,608335,180964,73412,107552,314930,119029,195901,54502,18439,36063,286209,176568,109641
