City,COUNT,No of Household,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Total population Person,Total population Male,Total population Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates population Person,Literates population Male,Literates population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3-6 Person,Marginal Worker Population 3-6 Male,Marginal Worker Population 3-6 Female,Marginal Cultivator Population 3-6 Person,Marginal Cultivator Population 3-6 Male,Marginal Cultivator Population 3-6 Female,Marginal Agriculture Labourers Population 3-6 Person,Marginal Agriculture Labourers Population 3-6 Male,Marginal Agriculture Labourers Population 3-6 Female,Marginal Household Industries Population 3-6 Person,Marginal Household Industries Population 3-6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3-6 Person,Marginal Other Workers Population Person 3-6 Male,Marginal Other Workers Population Person 3-6 Female,Marginal Worker Population 0-3 Person,Marginal Worker Population 0-3 Male,Marginal Worker Population 0-3 Female,Marginal Cultivator Population 0-3 Person,Marginal Cultivator Population 0-3 Male,Marginal Cultivator Population 0-3 Female,Marginal Agriculture Labourers Population 0-3 Person,Marginal Agriculture Labourers Population 0-3 Male,Marginal Agriculture Labourers Population 0-3 Female,Marginal Household Industries Population 0-3 Person,Marginal Household Industries Population 0-3 Male,Marginal Household Industries Population 0-3 Female,Marginal Other Workers Population 0-3 Person,Marginal Other Workers Population 0-3 Male,Marginal Other Workers Population 0-3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
Gurgaon,35,206597,111801,60456,51345,876969,475032,401937,74881,39809,35072,0,0,0,669708,376978,292730,207261,98054,109207,335109,265544,69565,317150,253721,63429,2311,2029,282,3537,2946,591,10248,8470,1778,301054,240276,60778,17959,11823,6136,363,249,114,878,612,266,809,423,386,15909,10539,5370,14695,9435,5260,338,226,112,710,472,238,600,339,261,13047,8398,4649,3264,2388,876,25,23,2,168,140,28,209,84,125,2862,2141,721,541860,209488,332372
Howrah,50,244135,91315,47267,44048,1077075,561220,515855,35025,18289,16736,3339,1735,1604,874491,468026,406465,202584,93194,109390,397048,336600,60448,358922,316146,42776,894,625,269,1008,810,198,12078,9558,2520,344942,305153,39789,38126,20454,17672,1389,548,841,404,176,228,3509,1591,1918,32824,18139,14685,34342,18334,16008,1371,538,833,359,145,214,2986,1396,1590,29626,16255,13371,3784,2120,1664,18,10,8,45,31,14,523,195,328,3198,1884,1314,680027,224620,455407
Hyderabad,151,798718,446541,233458,213083,3725413,1904998,1820415,219424,110177,109247,46791,24492,22299,2726000,1451740,1274260,999413,453258,546155,1320744,977938,342806,1023461,804342,219119,13860,8570,5290,15884,10388,5496,30474,20042,10432,963243,765342,197901,297283,173596,123687,12943,6085,6858,5979,3628,2351,12547,4959,7588,265814,158924,106890,276640,159549,117091,12802,6010,6792,5399,3212,2187,10453,3927,6526,247986,146400,101586,20643,14047,6596,141,75,66,580,416,164,2094,1032,1062,17828,12524,5304,2404669,927060,1477609
Jalandhar,61,194533,94707,50819,43888,910731,485391,425340,243474,128143,115331,0,0,0,705689,387345,318344,205042,98046,106996,338040,275446,62594,306572,256189,50383,2680,2223,457,3445,2697,748,12153,9565,2588,288294,241704,46590,31468,19257,12211,932,519,413,1078,692,386,2005,810,1195,27453,17236,10217,28473,17382,11091,911,510,401,935,586,349,1576,634,942,25051,15652,9399,2995,1875,1120,21,9,12,143,106,37,429,176,253,2402,1584,818,572691,209945,362746
Jammu,76,103025,45642,24931,20711,502197,263141,239056,58733,30582,28151,6342,3316,3026,411558,222438,189120,90639,40703,49936,175288,136905,38383,155470,125495,29975,585,419,166,689,550,139,1995,1570,425,152201,122956,29245,19818,11410,8408,587,271,316,400,291,109,1215,365,850,17616,10483,7133,17754,10107,7647,576,265,311,347,250,97,1073,337,736,15758,9255,6503,2064,1303,761,11,6,5,53,41,12,142,28,114,1858,1228,630,326909,126236,200673
Kanpur,111,542795,278749,149639,129110,2873882,1547612,1326270,355667,192126,163541,3095,1755,1340,2135401,1180198,955203,738481,367414,371067,965538,818401,147137,781468,684078,97390,9507,7832,1675,15136,12876,2260,38109,32509,5600,718716,630861,87855,184070,134323,49747,4172,2481,1691,8500,6703,1797,9621,6110,3511,161777,119029,42748,151547,107536,44011,3896,2282,1614,7101,5524,1577,7538,4870,2668,133012,94860,38152,32523,26787,5736,276,199,77,1399,1179,220,2083,1240,843,28765,24169,4596,1908344,729211,1179133
Kolkata,141,1024928,339323,175564,163759,4496694,2356766,2139928,241932,128053,113879,10684,5729,4955,3588137,1926915,1661222,908557,429851,478706,1795740,1412466,383274,1576419,1294266,282153,7413,4702,2711,8903,6767,2136,53463,41487,11976,1506640,1241310,265330,219321,118200,101121,8626,3454,5172,3485,2006,1479,14975,6312,8663,192235,106428,85807,200690,106205,94485,8502,3375,5127,3013,1647,1366,12212,5139,7073,176963,96044,80919,18631,11995,6636,124,79,45,472,359,113,2763,1173,1590,15272,10384,4888,2700954,944300,1756654
Lucknow,111,549708,299892,157510,142382,2880108,1497556,1382552,311853,164124,147729,6498,3518,2980,2130513,1154216,976297,749595,343340,406255,970644,778193,192451,780011,657116,122895,9792,7802,1990,13549,11135,2414,47650,38941,8709,709020,599238,109782,190633,121077,69556,5296,2913,2383,8343,6341,2002,15011,9331,5680,161983,102492,59491,173334,107786,65548,5105,2782,2323,7028,5264,1764,12424,7666,4758,148777,92074,56703,17299,13291,4008,191,131,60,1315,1077,238,2587,1665,922,13206,10418,2788,1909464,719363,1190101
Madurai,100,266449,100324,51485,48839,1017865,509302,508563,63833,31874,31959,3149,1554,1595,834104,433860,400244,183761,75442,108319,391315,301048,90267,363533,285401,78132,1224,940,284,2178,1545,633,11282,5212,6070,348849,277704,71145,27782,15647,12135,388,190,198,616,347,269,1611,414,1197,25167,14696,10471,24135,13654,10481,375,180,195,531,302,229,1239,328,911,21990,12844,9146,3647,1993,1654,13,10,3,85,45,40,372,86,286,3177,1852,1325,626550,208254,418296
Meerut,88,249775,180996,98079,82917,1398741,741142,657599,226004,121238,104766,3102,1494,1370,858441,482308,376133,446988,205810,241178,407274,341008,66266,340730,296839,43891,6106,5117,989,12719,10633,2086,21710,18622,3088,300195,262467,37728,66544,44169,22375,1591,1005,586,4079,2963,1116,5359,2976,2383,55515,37225,18290,59878,39606,20272,1498,934,564,3594,2664,930,4419,2486,1933,50367,33522,16845,6666,4563,2103,93,71,22,485,299,186,940,490,450,5148,3703,1445,898155,347110,551045
